"Standard name","Hermes probability"
"S000002812",0.92
"S000002813",0.445
"S000002814",0
"S000002815",0.98
"S000002816",0
"S000002817",0
"S000002818",0.005
"S000002819",0
"S000002820",0.305
"S000002822",0
"S000002823",0.125
"S000002824",0.66
"S000002826",0.99
"S000002827",0
"S000002829",0
"S000002830",0
"S000002831",0
"S000002832",0
"S000002833",0.005
"S000002835",0.09
"S000002836",0
"S000002837",0.935
"S000002838",0
"S000002840",0.765
"S000002842",0.965
"S000002843",0
"S000002844",0.005
"S000002845",0.845
"S000002846",0
"S000002847",0.075
"S000002848",0
"S000002849",0
"S000002851",0
"S000002852",0
"S000002854",0.005
"S000002855",0
"S000002856",0.6
"S000002857",0.985
"S000002858",0
"S000002859",0
"S000002860",0
"S000002861",0
"S000002862",0.93
"S000002864",0
"S000002865",0.05
"S000002866",0
"S000002867",0.015
"S000002868",0.82
"S000002869",0.03
"S000087209",0.025
"S000002870",0.335
"S000002871",0.725
"S000002872",0.705
"S000002873",0
"S000002874",0
"S000002876",0.385
"S000002877",0.155
"S000002878",0.245
"S000002879",0
"S000002880",0.92
"S000002881",0.955
"S000002883",0
"S000002884",0.005
"S000002885",0.26
"S000002886",0.98
"S000002887",0
"S000002888",0
"S000002889",0
"S000002890",0
"S000002891",0
"S000002892",0.76
"S000002893",0.1
"S000002894",0.04
"S000002895",0.94
"S000002896",0.02
"S000002897",0.89
"S000002898",0
"S000002900",0
"S000002901",0.015
"S000002902",0.31
"S000002903",0.855
"S000002904",0
"S000002905",0
"S000002906",0.685
"S000002907",0.7
"S000002908",0
"S000002909",0.015
"S000002910",0
"S000002911",0
"S000002912",0.27
"S000002913",0.005
"S000002914",0
"S000002915",0
"S000002916",0
"S000002918",0.99
"S000002919",0.01
"S000002920",0
"S000002921",0.005
"S000002922",0
"S000002923",0.005
"S000002924",0
"S000002925",0
"S000002926",0
"S000002927",0.005
"S000002928",0
"S000002930",0
"S000002931",0.01
"S000002932",0.015
"S000028740",0.185
"S000028739",0
"S000007236",0.005
"S000002935",0.77
"S000002936",0
"S000002937",0.21
"S000002938",0.005
"S000002939",0.965
"S000002940",0.2
"S000002941",0
"S000002942",0.03
"S000002944",0
"S000002946",0.165
"S000002947",0
"S000002948",0.04
"S000002949",0
"S000002950",0.265
"S000000799",0.12
"S000000798",0
"S000000797",0
"S000000795",0.06
"S000000794",0.035
"S000000793",0
"S000000792",0
"S000000791",0.005
"S000000790",0
"S000000789",0.005
"S000000788",0.02
"S000000787",0.215
"S000000786",0
"S000002954",0.08
"S000000784",0.885
"S000000783",0
"S000000782",0
"S000000781",0.995
"S000000780",0.01
"S000000779",0.025
"S000000778",0
"S000000777",0.695
"S000000776",0.135
"S000000775",0
"S000000774",0.075
"S000000773",0
"S000000772",0.26
"S000000770",0.525
"S000000769",0.045
"S000000768",0
"S000000767",0
"S000000766",0
"S000000765",0
"S000000764",0
"S000000763",0.01
"S000000762",0.085
"S000000761",0.005
"S000000760",0.835
"S000000759",0
"S000000758",0.965
"S000000757",0.115
"S000000756",0.105
"S000000755",0.295
"S000000753",0.805
"S000000752",0.995
"S000000751",0.005
"S000000750",0.21
"S000000749",0
"S000000748",0.015
"S000000747",0
"S000007256",0.98
"S000000746",0
"S000000745",0.89
"S000000744",0.005
"S000002103",0.015
"S000000743",0
"S000000742",0
"S000000741",0
"S000000739",0.3
"S000000738",0
"S000000737",0
"S000000735",0
"S000000733",0.055
"S000000732",0
"S000000731",0
"S000000730",0
"S000000729",0
"S000000728",0.94
"S000000727",0.005
"S000000803",0
"S000000804",0
"S000000805",0.97
"S000000806",0
"S000000807",0
"S000000808",0.955
"S000000809",0
"S000002957",0
"S000000810",0.065
"S000000811",0.87
"S000000812",0
"S000000813",0.01
"S000000814",0.93
