,id,Hermes probability
213,CAGL0B00352g,0.935
214,CAGL0B00374g,0.025
215,CAGL0B00396g,0.03
216,CAGL0B00418g,0.01
217,CAGL0B00440g,0.275
218,CAGL0B00462g,0.02
219,CAGL0B00484g,0.99
220,CAGL0B00506g,0.07
221,CAGL0B00528g,0.01
222,CAGL0B00550g,0.005
223,CAGL0B00572g,0.0
224,CAGL0B00594g,0.36
225,CAGL0B00616g,0.11
226,CAGL0B00638g,0.145
227,CAGL0B00660g,0.89
228,CAGL0B00682g,0.02
229,CAGL0B00704g,0.76
230,CAGL0B00715g,0.085
231,CAGL0B00726g,0.055
232,CAGL0B00748g,0.045
233,CAGL0B00770g,0.025
234,CAGL0B00792g,0.04
235,CAGL0B00814g,0.03
236,CAGL0B00836g,0.01
237,CAGL0B00858g,0.015
238,CAGL0B00880g,1.0
239,CAGL0B00902g,0.045
240,CAGL0B00924g,0.61
241,CAGL0B00946g,0.995
242,CAGL0B00968g,0.015
243,CAGL0B00990g,0.005
244,CAGL0B01012g,0.25
245,CAGL0B01078g,0.28
246,CAGL0B01100g,0.26
247,CAGL0B01122g,0.015
248,CAGL0B01144g,0.005
249,CAGL0B01166g,0.965
250,CAGL0B01188g,0.005
251,CAGL0B01203g,0.875
252,CAGL0B01232g,1.0
253,CAGL0B01243g,0.995
254,CAGL0B01265g,0.755
255,CAGL0B01287g,0.075
256,CAGL0B01331g,0.42
257,CAGL0B01353g,0.16
258,CAGL0B01375g,0.01
259,CAGL0B01397g,0.49
260,CAGL0B01419g,0.995
261,CAGL0B01441g,0.175
262,CAGL0B01463g,0.895
263,CAGL0B01485g,0.125
264,CAGL0B01507g,0.055
265,CAGL0B01529g,0.07
266,CAGL0B01551g,0.96
267,CAGL0B01573g,0.0
268,CAGL0B01589g,0.025
269,CAGL0B01595g,0.05
270,CAGL0B01617g,0.15
271,CAGL0B01639g,0.54
272,CAGL0B01683g,0.215
273,CAGL0B01705g,0.605
274,CAGL0B01727g,0.005
275,CAGL0B01771g,0.145
276,CAGL0B01793g,0.04
277,CAGL0B01815g,0.075
278,CAGL0B01837g,0.005
279,CAGL0B01859g,0.87
280,CAGL0B01875g,0.515
281,CAGL0B01881g,0.605
282,CAGL0B01903g,0.97
283,CAGL0B01925g,0.65
284,CAGL0B01947g,0.915
285,CAGL0B01969g,0.0
286,CAGL0B01991g,0.005
287,CAGL0B02013g,0.02
288,CAGL0B02035g,0.815
289,CAGL0B02057g,0.07
290,CAGL0B02079g,0.1
291,CAGL0B02101g,0.01
292,CAGL0B02123g,0.005
293,CAGL0B02145g,0.62
294,CAGL0B02167g,0.01
295,CAGL0B02189g,1.0
296,CAGL0B02211g,0.145
